LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,2ndFlrSF,LowQualFinSF,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,SalePrice,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition,MSSubClass,OverallQual,OverallCond,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,MoSold
70.0,11200,0.0,906,0,134,0,0,0,0,0,0,0,0,0,2008,129500,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD,Normal,20,5,5,1,0,1,0,3,1,5,0,1,2
85.0,11924,286.0,998,0,177,1142,0,147,21,0,0,0,0,0,2006,345000,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,BuiltIn,Fin,TA,TA,Y,New,Partial,60,9,5,1,0,3,0,4,1,11,2,3,7
,12968,0.0,737,0,175,0,0,140,0,0,0,176,0,0,2008,144000,RL,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD,Normal,20,5,6,1,0,1,0,2,1,4,0,1,9
91.0,10652,306.0,0,0,1494,0,0,160,33,0,0,0,0,0,2007,279500,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,New,Partial,20,7,5,0,0,2,0,3,1,7,1,3,8
,10920,212.0,733,0,520,0,0,0,213,176,0,0,0,0,2008,157000,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,20,6,5,1,0,1,1,2,1,5,1,1,5
51.0,6120,0.0,0,0,832,0,0,48,112,0,0,0,0,0,2007,132000,RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,TA,Typ,Detchd,Unf,TA,TA,Y,WD,Normal,45,7,8,0,0,1,0,2,1,5,0,2,7
,11241,180.0,578,0,426,0,0,0,0,0,0,0,0,700,2010,149000,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD,Normal,20,6,7,1,0,1,0,2,1,5,1,2,3
72.0,10791,0.0,0,0,0,0,0,0,0,0,0,0,0,500,2006,90000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,,,,,,GasA,TA,Y,SBrkr,TA,Typ,CarPort,Unf,TA,TA,Y,WD,Normal,90,4,5,0,0,2,0,2,2,6,0,2,10
66.0,13695,0.0,646,0,468,0,0,0,102,0,0,0,0,0,2008,159000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Detchd,Unf,TA,TA,Y,WD,Normal,20,5,5,1,0,1,1,3,1,6,0,2,6
70.0,7560,0.0,504,0,525,0,0,0,0,0,0,0,0,0,2009,139000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Min1,Attchd,Unf,TA,TA,Y,COD,Abnorml,20,5,6,0,0,1,0,3,1,6,0,1,5
101.0,14215,380.0,0,0,1158,1218,0,240,154,0,0,0,0,0,2006,325300,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,BuiltIn,RFn,TA,TA,Y,New,Partial,60,8,5,0,0,3,1,4,1,9,1,3,11
57.0,7449,0.0,0,0,637,0,0,0,0,205,0,0,0,0,2007,139400,RM,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseF,Gd,Typ,Attchd,Unf,TA,TA,N,WD,Normal,45,7,7,0,0,1,0,3,1,6,1,1,6
75.0,9742,281.0,0,0,1777,0,0,171,159,0,0,0,0,0,2008,230000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,20,8,5,0,0,2,0,3,1,7,1,2,9
44.0,4224,0.0,840,0,200,0,0,100,110,0,0,0,0,0,2007,129900,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD,Normal,120,5,7,1,0,1,0,3,1,6,1,2,6
,8246,0.0,188,668,204,0,0,406,90,0,0,0,0,0,2010,154000,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,WD,Normal,20,5,8,1,0,1,0,3,1,6,1,1,5
110.0,14230,640.0,0,0,1566,0,0,0,56,0,0,0,0,0,2009,256300,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,20,8,5,0,0,2,0,3,1,7,1,3,7
60.0,7200,0.0,234,486,180,0,0,222,32,0,0,0,0,0,2010,134800,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,GasA,TA,Y,SBrkr,Gd,Typ,Detchd,Unf,TA,TA,Y,WD,Normal,20,5,7,0,1,1,0,3,1,5,0,2,5
98.0,11478,200.0,1218,0,486,0,0,0,50,0,0,0,0,0,2010,306000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,20,8,5,1,0,2,0,3,1,7,1,3,5
47.0,16321,0.0,1277,0,207,0,0,288,258,0,0,0,0,0,2006,207500,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,20,5,6,1,0,1,0,2,1,6,2,1,12
60.0,6324,0.0,0,0,520,0,0,49,0,87,0,0,0,0,2008,68500,RM,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,Fa,Typ,Detchd,Unf,Fa,TA,Y,WD,Normal,30,4,6,0,0,1,0,1,1,4,0,1,5
50.0,8500,0.0,0,0,649,668,0,0,54,172,0,0,0,0,2008,40000,C (all),Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,Detchd,Unf,TA,Fa,N,WD,Normal,70,4,4,0,0,1,0,3,1,6,0,1,7
,8544,0.0,0,0,1228,0,0,0,65,0,0,0,0,0,2008,149350,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,WD,Normal,20,5,6,0,0,1,1,3,1,6,0,1,6
85.0,11049,0.0,0,0,1234,0,0,0,30,0,0,0,0,0,2008,179900,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,20,8,5,0,0,2,0,3,1,7,0,2,1
70.0,10552,0.0,1018,0,380,0,0,0,38,0,0,0,0,0,2010,165500,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,20,5,5,0,1,1,1,4,1,6,1,2,4
60.0,7313,246.0,1153,0,408,0,0,203,47,0,0,0,0,0,2007,277500,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,WD,Normal,120,9,5,1,0,2,0,2,1,6,1,2,8
108.0,13418,132.0,0,0,1117,1320,0,113,32,0,0,0,0,0,2006,309000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,BuiltIn,Fin,TA,TA,Y,WD,Normal,60,8,5,0,0,3,1,4,1,9,1,3,9
112.0,10859,0.0,0,0,1097,0,0,392,64,0,0,0,0,0,2009,145000,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD,Normal,20,5,5,0,0,1,1,3,1,6,0,2,6
74.0,8532,650.0,1213,0,84,0,0,0,0,0,0,0,0,0,2009,153000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD,Normal,20,5,6,0,1,1,0,3,1,5,1,2,10
68.0,7922,0.0,731,0,326,0,0,0,52,0,0,0,0,0,2010,109000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Detchd,Unf,TA,TA,Y,WD,Abnorml,20,5,7,1,0,1,0,3,1,5,0,1,1
65.0,6040,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2008,82000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,,,,,,GasA,TA,N,FuseP,Fa,Typ,,,,,N,WD,AdjLand,90,4,5,0,0,2,0,2,2,6,0,0,6
84.0,8658,101.0,643,0,445,0,0,0,138,0,0,0,0,0,2006,160000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,WD,Abnorml,20,6,5,0,0,2,0,3,1,6,1,2,12
115.0,16905,0.0,967,0,383,0,0,0,104,0,0,0,0,0,2007,170000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,P,WD,Normal,20,5,6,0,1,1,1,2,1,5,2,1,7
,9180,0.0,747,93,0,0,0,240,0,0,0,0,0,0,2007,144000,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,Gd,Y,WD,Normal,85,5,7,1,0,1,0,2,1,5,0,2,12
,9200,0.0,280,491,167,0,0,145,0,0,0,0,0,0,2008,130250,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD,Normal,20,5,6,1,0,1,0,3,1,5,0,1,7
70.0,7945,0.0,179,506,465,0,0,0,0,0,0,0,0,0,2006,141000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,FuseA,TA,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,20,5,6,1,0,1,0,3,1,6,0,1,5
61.0,7658,412.0,456,0,1296,0,0,196,82,0,0,0,0,0,2010,319900,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,120,9,5,1,0,2,0,2,1,6,1,2,2
48.0,12822,0.0,1351,0,83,631,0,168,43,0,0,198,0,0,2009,239686,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Abnorml,50,7,5,1,0,1,1,1,1,6,1,2,8
84.0,11096,0.0,24,0,1632,0,0,0,146,0,0,0,0,0,2007,249700,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,20,8,5,0,0,2,0,3,1,7,0,3,7
33.0,4456,0.0,0,0,736,716,0,0,0,102,0,0,0,0,2009,113000,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,,,,,N,New,Partial,190,4,5,0,0,2,0,2,3,8,0,0,6
66.0,7742,0.0,763,0,192,0,0,0,0,0,0,0,0,0,2007,127000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD,Normal,20,5,7,1,0,1,0,3,1,6,0,1,1
,13869,0.0,182,0,612,676,0,0,75,0,0,0,0,0,2007,177000,RL,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD,Normal,60,6,6,0,1,2,0,3,1,6,0,2,7
52.0,6240,0.0,0,0,816,0,360,112,0,0,0,0,0,400,2006,114500,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD,Normal,50,6,6,0,0,1,0,3,1,6,1,2,9
110.0,8472,0.0,104,712,0,0,0,106,0,0,0,0,0,0,2010,110000,RM,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,GasA,TA,N,SBrkr,TA,Typ,CarPort,Unf,TA,TA,Y,WD,Normal,90,5,5,1,0,1,0,2,1,5,0,2,5
68.0,50271,0.0,1810,0,32,0,0,857,72,0,0,0,0,0,2006,385000,RL,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,Gable,WdShngl,WdShing,Wd Shng,None,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD,Normal,20,9,5,2,0,0,1,0,1,5,1,3,11
60.0,7134,0.0,384,0,0,0,0,0,50,0,0,0,0,0,2007,130000,RL,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Min1,Detchd,Unf,TA,TA,Y,WD,Normal,80,5,5,0,0,1,0,3,1,6,1,2,2
100.0,10175,272.0,490,0,935,0,0,0,0,0,407,0,0,0,2008,180500,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,20,6,5,0,0,2,0,3,1,7,1,2,7
24.0,2645,456.0,649,0,321,756,0,115,0,0,0,0,0,0,2009,172500,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD,Abnorml,160,8,5,1,0,2,1,3,1,7,0,2,8
89.0,11645,0.0,0,0,860,860,0,0,70,0,0,0,0,0,2006,196500,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal,60,7,5,0,0,2,1,3,1,7,0,2,8
